algorithm,trial,function,population,crossover_probability,mutation_probability,best_solution,value,recombination,c1,c2,w,time
differential_evolution,,rastrigin,10,,0.04,"[-2.98485563e+00 -1.98991229e+00  9.94958439e-01 -9.94958607e-01
 -1.73268245e-08  1.98991225e+00 -9.94958669e-01  2.49050109e-08
 -2.98485565e+00 -2.98485569e+00  9.94958599e-01  3.05679477e-08
  9.94958637e-01 -2.71015904e-08 -1.50215530e-08  3.97978386e+00
 -1.98991222e+00  9.94958667e-01  9.94958619e-01  1.98991217e+00]",65.66708567880411,0.7,,,,0.18003082275390625
differential_evolution,,griewangk,10,,0.04,"[ 3.14000498e+00  4.43843613e+00  2.52952462e-05 -2.25931804e-05
  2.30710671e-05  9.46007052e-06  2.57056542e-05  4.48927544e-05
 -5.35762913e-05 -7.21450614e-05]",0.0073960413346711995,0.7,,,,0.10963964462280273
differential_evolution,,sphere,10,,0.04,[-5.00000042e-09 -5.00000056e-09],5.00000097896932e-17,0.8,,,,0.03384852409362793
differential_evolution,,rosenbrock,10,,0.04,[0.99999627 0.9999925 ],1.4081416415118802e-11,0.8,,,,0.030638694763183594
differential_evolution,,step,10,,0.04,[-5.0252367  -2.50332249 -3.39140597 -4.61594992 -4.04172995],-18.0,0.8,,,,0.03665566444396973
differential_evolution,,foxholes,10,,0.04,[-0.07965073 -0.08907129],12.670506505564012,0.8,,,,0.027863502502441406
differential_evolution,,schwefel,10,,0.04,"[-302.52483805 -302.52494354  420.96888019  420.96876229  420.96868767
   65.54791318  420.9688149   420.96867388 -124.82937141 -302.52500696]",1006.7697502045489,0.8,,,,0.06081438064575195
differential_evolution,,rastrigin,10,,0.04,"[-2.98485559e+00 -1.98991138e+00  9.94958319e-01 -9.94958653e-01
  4.40961128e-07  1.98991222e+00 -9.94958762e-01  9.94958614e-01
 -2.98485582e+00  1.98991238e+00  9.94958637e-01  9.83365311e-08
  9.94958752e-01 -3.97978346e+00  8.84237685e-08  3.97978406e+00
 -1.98991200e+00  1.98991211e+00  9.94958671e-01  1.98991262e+00]",80.59139061118167,0.8,,,,0.1402888298034668
differential_evolution,,griewangk,10,,0.04,"[ 9.42001904e+00  2.96884775e-05  2.23440800e-05 -4.01655001e-05
  3.52845288e-06 -7.67229208e+00  8.22604345e-05  2.85907279e-05
 -1.71756965e-05  2.84077453e-05]",0.03695563982845196,0.8,,,,0.08498382568359375
differential_evolution,,sphere,10,,0.04,[-5.00000010e-09 -5.00000021e-09],5.00000030976681e-17,0.9,,,,0.03234601020812988
differential_evolution,,rosenbrock,10,,0.04,[0.99999809 0.99999619],3.664040210600771e-12,0.9,,,,0.031139612197875977
differential_evolution,,step,10,,0.04,[-5.03428895 -2.48774958 -3.7109237  -4.48074722 -4.15362059],-18.0,0.9,,,,0.03164529800415039
differential_evolution,,foxholes,10,,0.04,[-0.07965073 -0.08907129],12.670506505564012,0.9,,,,0.023796796798706055
differential_evolution,,schwefel,10,,0.04,"[-302.52496242 -302.52495116  420.96860775  420.96865414  420.96862754
 -302.52493571  420.96869885  203.8142406  -124.82950158    5.23921301]",1283.599099923676,0.9,,,,0.056446075439453125
differential_evolution,,rastrigin,10,,0.04,"[-2.98485573e+00 -1.98991227e+00  9.94958644e-01 -9.94958669e-01
 -4.16836661e-08  1.98991220e+00 -9.94958683e-01  3.83177938e-08
 -1.98991223e+00  1.98991227e+00  9.94958673e-01  2.91698366e-08
  9.94958668e-01  1.35944015e-09 -9.94958590e-01  3.97978385e+00
 -1.98991222e+00  1.98991220e+00  9.94958658e-01  1.98991223e+00]",59.69737676748384,0.9,,,,0.11324954032897949
differential_evolution,,griewangk,10,,0.04,"[-5.86056390e-07  2.13889604e-06 -8.63633053e-07 -2.71276639e-07
  5.63822574e-06 -5.80438283e-06  2.04328733e-05  7.14793482e-06
 -3.52569076e-06 -6.45130918e-07]",4.1299963449148436e-11,0.9,,,,0.06287002563476562
differential_evolution,,sphere,10,,0.1,[ 2.50570960e-09 -4.99428146e-09],3.122142784185035e-17,0.6,,,,0.052381038665771484
differential_evolution,,rosenbrock,10,,0.1,[0.99999798 0.99999589],4.519055512528528e-12,0.6,,,,0.039707183837890625
differential_evolution,,step,10,,0.1,[-5.06117004 -3.17098078 -5.08689968 -4.32469645 -4.07018807],-21.0,0.6,,,,0.050744056701660156
differential_evolution,,foxholes,10,,0.1,[ 0.01926548 -0.06831972],12.670505900969227,0.6,,,,0.031624555587768555
differential_evolution,,schwefel,10,,0.1,"[-302.52497308 -302.52483185  420.96878987  420.96874604  420.96874938
  420.96864977  420.96879134  203.81408279  420.96875451  203.8142966 ]",671.1561352928302,0.6,,,,0.11750149726867676
differential_evolution,,rastrigin,10,,0.1,"[-9.57186100e-08 -1.98991227e+00  9.94958537e-01 -9.94958703e-01
  9.17557957e-08  1.98991214e+00 -9.94958589e-01  3.68295057e-08
  9.94958673e-01 -1.98991228e+00  9.94958685e-01  3.97978372e+00
 -9.94958680e-01  2.98485562e+00 -9.94958539e-01 -9.94958668e-01
  9.94958554e-01  9.94958552e-01 -4.70507125e-08  2.98485560e+00]",55.71753041805391,0.6,,,,0.313112735748291
differential_evolution,,griewangk,10,,0.1,"[ 1.57000676e+01  3.10689307e+01  5.43319802e+00  1.25411391e+01
  2.10215540e+01 -6.90498176e+01 -4.14137048e+01 -1.28236540e-05
  9.38233294e+00  9.88486201e+00]",2.133269978835016,0.6,,,,0.1975538730621338
differential_evolution,,sphere,10,,0.1,[-4.99999506e-09 -4.99999831e-09],4.9999933664160333e-17,0.7,,,,0.04241037368774414
differential_evolution,,rosenbrock,10,,0.1,[0.99999701 0.99999401],8.959558646996306e-12,0.7,,,,0.04003548622131348
differential_evolution,,step,10,,0.1,[-5.05986305 -5.07952423 -3.38795506 -4.43562554 -5.04812997],-22.0,0.7,,,,0.056351661682128906
differential_evolution,,foxholes,10,,0.1,[-0.05875167 -0.06688484],12.670505923529813,0.7,,,,0.0315244197845459
differential_evolution,,schwefel,10,,0.1,"[-302.52478032 -302.52479072  420.96874464  420.96891119  420.96867992
  420.96870763  420.96874162  203.81432073 -124.82932222  -25.87737354]",1145.023106713902,0.7,,,,0.1161501407623291
differential_evolution,,rastrigin,10,,0.1,"[-2.98485571e+00 -1.98991224e+00  1.98991223e+00 -9.94958645e-01
 -9.82002177e-09  9.94958629e-01 -9.94958645e-01 -8.44394889e-09
 -2.98485571e+00 -2.98485571e+00  9.94958632e-01 -5.88897734e-09
  1.98991223e+00 -2.40933842e-09 -1.98991225e+00 -2.98485571e+00
  9.94958632e-01  9.94958632e-01 -1.69380112e-09 -2.98485570e+00]",66.66208531221137,0.7,,,,0.2494204044342041
differential_evolution,,griewangk,10,,0.1,"[-9.42007004e+00 -1.59073361e-05 -5.67872747e-06  1.14408455e-05
 -7.00730107e+00 -1.35695270e-05  2.17587377e-06  8.22912903e-06
  1.71865741e-05 -2.77041599e-05]",0.03450175169525238,0.7,,,,0.1290299892425537
differential_evolution,,sphere,10,,0.1,[-5.56748708e-09  1.82900241e-09],3.434216220424397e-17,0.8,,,,0.03631138801574707
differential_evolution,,rosenbrock,10,,0.1,[0.99999775 0.99999539],6.532165172012815e-12,0.8,,,,0.03252458572387695
differential_evolution,,step,10,,0.1,[-5.00617886 -3.3745417  -4.37297889 -4.32829844 -4.19812483],-20.0,0.8,,,,0.04487013816833496
differential_evolution,,foxholes,10,,0.1,[0.06358435 0.05484326],12.67050588952687,0.8,,,,0.03352856636047363
differential_evolution,,schwefel,10,,0.1,"[-302.52486569 -302.5248556   420.96880164  420.96879307  420.96877722
 -124.82933451  420.96870893  203.81421677 -124.8293945    65.54798713]",1401.5777987378,0.8,,,,0.07120776176452637
differential_evolution,,rastrigin,10,,0.1,"[-2.98485572e+00 -1.98991225e+00  1.98991231e+00 -9.94958576e-01
 -9.32973973e-09  1.98991223e+00  9.94958633e-01 -9.94958626e-01
 -1.20785922e-08  1.98991220e+00  9.94958637e-01 -1.23985430e-08
  9.94958593e-01  5.90730856e-10 -1.98991246e+00 -1.98991227e+00
  9.94958637e-01  1.98991223e+00  9.94958631e-01  9.94958644e-01]",44.773092032125504,0.8,,,,0.16765284538269043
differential_evolution,,griewangk,10,,0.1,"[-3.14002483e+00 -1.73141125e-05 -7.77118502e-06 -9.19825343e-07
  3.08489019e-05 -2.95782519e-05  8.28286955e+00  3.19443257e-07
  1.06348323e-05  1.35140543e-05]",0.019677734841293537,0.8,,,,0.0960087776184082
differential_evolution,,sphere,10,,0.1,[2.95542071e-09 1.97860132e-09],1.26493747276778e-17,0.9,,,,0.030470848083496094
differential_evolution,,rosenbrock,10,,0.1,[0.99999701 0.99999401],8.963175420762014e-12,0.9,,,,0.030548810958862305
differential_evolution,,step,10,,0.1,[-5.06062645 -3.14882517 -3.81912453 -4.35919533 -4.02850926],-19.0,0.9,,,,0.04718160629272461
differential_evolution,,foxholes,10,,0.1,[0.07028315 0.07070501],12.670506029177828,0.9,,,,0.027655601501464844
differential_evolution,,schwefel,10,,0.1,"[-302.52468748 -302.52473011  420.96827264  420.96860921  420.96902016
  420.96882326  420.96899357  203.81429822 -124.82923064  -25.87706855]",1145.023106784487,0.9,,,,0.0780801773071289
differential_evolution,,rastrigin,10,,0.1,"[-2.98485570e+00 -1.98991224e+00  1.98991223e+00 -9.94958641e-01
 -2.95665671e-08  1.98991223e+00 -9.94958641e-01 -9.94958640e-01
 -2.98485570e+00  1.98991223e+00  9.94958622e-01 -7.31195173e-09
 -6.82441031e-09 -6.37178157e-09 -1.98991224e+00 -1.98991223e+00
  9.94958621e-01  1.98991223e+00  9.94958641e-01 -8.27130645e-09]",51.73777515941278,0.9,,,,0.14805340766906738
differential_evolution,,griewangk,10,,0.1,"[-6.28004360e+00  4.43843926e+00 -1.03176028e-05  9.01070708e-06
  7.00728096e+00 -2.88770547e-06 -2.58747371e-05 -1.60368209e-05
 -6.86007157e-06  1.62902088e-05]",0.027100783942576645,0.9,,,,0.08416938781738281
differential_evolution,,sphere,50,,0.01,[-5.00000413e-09 -4.99998456e-09],4.999988691774959e-17,0.6,,,,0.08838367462158203
differential_evolution,,rosenbrock,50,,0.01,[0.999997   0.99999399],9.022954063703703e-12,0.6,,,,0.08940505981445312
differential_evolution,,step,50,,0.01,[-4.74445421 -5.1027826  -5.01002094 -4.84243294 -3.20307914],-21.0,0.6,,,,0.11375212669372559
differential_evolution,,foxholes,50,,0.01,[-31.95380109 -15.97844821],5.928845125401835,0.6,,,,0.06345367431640625
differential_evolution,,schwefel,50,,0.01,"[ 420.96888148  420.96876571  420.9687659   420.96872268  420.96870087
 -302.52500108 -302.524933    420.96872094  420.96878018  420.96882295]",236.87679650877863,0.6,,,,0.6091461181640625
differential_evolution,,rastrigin,50,,0.01,"[-1.68038192e-08 -9.94958654e-01  9.94958618e-01 -1.57235294e-08
  6.91616420e-09  9.94958645e-01 -9.94958653e-01 -9.94958626e-01
  1.98991223e+00 -1.81487235e-08  9.94958631e-01  9.94958617e-01
  9.94958638e-01  9.94958630e-01 -9.94958650e-01  9.94958616e-01
 -9.94958627e-01 -1.98991222e+00  6.88519517e-12 -1.98991222e+00]",23.8790022567825,0.6,,,,1.6177170276641846
differential_evolution,,griewangk,50,,0.01,"[-4.86774486e-06  1.33153398e+01  5.43324492e+00  7.27544778e-06
  6.77033026e-06 -7.67228470e+00 -3.87843719e-05 -8.85035328e+00
  3.99617240e-05 -3.96775034e-05]",0.08618064822991345,0.6,,,,0.4808523654937744
differential_evolution,,sphere,50,,0.01,[-4.99994846e-09 -5.00000095e-09],4.999949409240538e-17,0.7,,,,0.07199335098266602
differential_evolution,,rosenbrock,50,,0.01,[0.99999415 0.9999881 ],3.7996506058964843e-11,0.7,,,,0.06515908241271973
differential_evolution,,step,50,,0.01,[-4.63183028 -5.08693605 -4.17675342 -4.86331514 -3.19652728],-20.0,0.7,,,,0.11455464363098145
differential_evolution,,foxholes,50,,0.01,[-31.95436437 -15.98157664],5.928845125445284,0.7,,,,0.04845905303955078
differential_evolution,,schwefel,50,,0.01,"[ 420.96885455  420.96876666  420.96873432 -302.5249992  -302.52498945
   65.54799307  420.96874085 -302.52507591  420.96872909  420.96880246]",710.6630364473831,0.7,,,,0.32906341552734375
differential_evolution,,rastrigin,50,,0.01,"[ 1.22703304e-08  9.94958642e-01  9.94958648e-01  1.35180361e-08
  1.20545503e-08 -9.94958632e-01 -9.94958637e-01 -9.94958637e-01
 -1.45369066e-08 -9.94958647e-01  9.94958581e-01  9.94958621e-01
  1.98991222e+00  9.94958662e-01 -1.98991222e+00  9.94958643e-01
 -9.94958655e-01  2.98485566e+00 -2.44942206e-08 -3.79270837e-09]",27.85881325062297,0.7,,,,0.9862418174743652
differential_evolution,,griewangk,50,,0.01,"[ 3.14002836e+00 -4.43846237e+00 -2.53686002e-05 -7.05304029e-06
  1.15621488e-05  1.68121908e-05  5.46365712e-06 -1.69668905e-05
 -1.67536146e-05  3.02079529e-05]",0.00739604066300148,0.7,,,,0.3464376926422119
differential_evolution,,sphere,50,,0.01,[-5.00001101e-09 -5.00006192e-09],5.000072931502366e-17,0.8,,,,0.08281493186950684
differential_evolution,,rosenbrock,50,,0.01,[1.00000083 1.00000164],7.599746366571684e-13,0.8,,,,0.06319332122802734
